Cluster ID,,title,org,id
405,971,"Das neue ""Gesetz zur Angleichung des Urheberrechts an die aktuellen Erfordernisse der Wissensgesellschaft"" und seine Auswirkungen für Digital Humanities 2018","WWU Münster, Germany",../dhd_2018/TEI/KAMOCKI_Pawel_Das_neue__Gesetz_zur_Angleichung_des_Urheberre.xml__0
406,972,"Das neue ""Gesetz zur Angleichung des Urheberrechts an die aktuellen Erfordernisse der Wissensgesellschaft"" und seine Auswirkungen für Digital Humanities 2018","ELDA, France",../dhd_2018/TEI/KAMOCKI_Pawel_Das_neue__Gesetz_zur_Angleichung_des_Urheberre.xml__1
80,973,"Das neue ""Gesetz zur Angleichung des Urheberrechts an die aktuellen Erfordernisse der Wissensgesellschaft"" und seine Auswirkungen für Digital Humanities 2018",IDS Mannheim,../dhd_2018/TEI/KAMOCKI_Pawel_Das_neue__Gesetz_zur_Angleichung_des_Urheberre.xml__2
407,974,"Das neue ""Gesetz zur Angleichung des Urheberrechts an die aktuellen Erfordernisse der Wissensgesellschaft"" und seine Auswirkungen für Digital Humanities 2018","Birkbeck, University of Lonfon",../dhd_2018/TEI/KAMOCKI_Pawel_Das_neue__Gesetz_zur_Angleichung_des_Urheberre.xml__3
80,975,"Das neue ""Gesetz zur Angleichung des Urheberrechts an die aktuellen Erfordernisse der Wissensgesellschaft"" und seine Auswirkungen für Digital Humanities 2018",IDS Mannheim,../dhd_2018/TEI/KAMOCKI_Pawel_Das_neue__Gesetz_zur_Angleichung_des_Urheberre.xml__4
31,976,"Das neue ""Gesetz zur Angleichung des Urheberrechts an die aktuellen Erfordernisse der Wissensgesellschaft"" und seine Auswirkungen für Digital Humanities 2018",Universität Mannheim,../dhd_2018/TEI/KAMOCKI_Pawel_Das_neue__Gesetz_zur_Angleichung_des_Urheberre.xml__5
80,977,"Das neue ""Gesetz zur Angleichung des Urheberrechts an die aktuellen Erfordernisse der Wissensgesellschaft"" und seine Auswirkungen für Digital Humanities 2018",IDS Mannheim,../dhd_2018/TEI/KAMOCKI_Pawel_Das_neue__Gesetz_zur_Angleichung_des_Urheberre.xml__6
23,978,"Das neue ""Gesetz zur Angleichung des Urheberrechts an die aktuellen Erfordernisse der Wissensgesellschaft"" und seine Auswirkungen für Digital Humanities 2018",Universität zu Köln,../dhd_2018/TEI/KAMOCKI_Pawel_Das_neue__Gesetz_zur_Angleichung_des_Urheberre.xml__7
9,979,"""Kinder des Buchdrucks"" im Digitalen Zeitalter. Ein romanistisches Digital Humanities Modul 2018","Universität Leipzig, Deutschland",../dhd_2018/TEI/BURR_Elisabeth__Kinder_des_Buchdrucks__im_Digitalen_Zeitalte.xml__0
9,980,"""Kinder des Buchdrucks"" im Digitalen Zeitalter. Ein romanistisches Digital Humanities Modul 2018","Universität Leipzig, Deutschland",../dhd_2018/TEI/BURR_Elisabeth__Kinder_des_Buchdrucks__im_Digitalen_Zeitalte.xml__1
